elapsedTime, numEvents, actionType, numCriticalPoints,traveledDistance, endToEndLine, largestDeviation, efficiency, a_beg_time, sum_of_angles,avgv,  sdv,  minv, maxv,avgvx, sdvx, minvx, maxvx,avgvy, sdvy, minvy, maxvy,avga,  sda,  mina, maxa,avg_omega, sd_omega, min_omega, max_omega,avg_jerk, sd_jerk, min_jerk, max_jerk,avg_curvature, sd_curvature, min_curvature, max_curvature,direction,userid
1047,47,3,33,  261.83,  147.14,   25.93,    0.56,    0.04,   63.38,    0.55,    0.42,    0.00,    1.50,    0.05,    0.08,    0.09,    0.40,    0.54,    0.42,    0.00,    1.50,   -0.00,    0.03,   -0.05,   -0.05,   -0.00,    0.03,   -0.08,    0.16,   -0.12,    0.04,   -0.16,    0.00,    0.01,    0.16,   -0.56,    0.79,    6.00,1
606,38,3,17,  162.77,  158.14,    6.68,    0.97,    0.02,   37.59,    0.43,    0.40,    0.01,    1.46,    0.10,    0.10,    0.01,    0.40,    0.41,    0.40,    0.09,    1.40,    0.00,    0.03,   -0.06,   -0.06,   -0.00,    0.04,   -0.16,    0.08,   -0.10,    0.05,   -0.16,    0.00,   -0.01,    0.40,   -1.57,    0.79,    2.00,1
1027,43,3,23,  194.39,   91.39,    8.40,    0.47,    0.02,   24.48,    0.44,    0.54,    0.02,    2.20,    0.29,    0.36,    0.02,    1.70,    0.29,    0.43,    0.05,    1.40,    0.00,    0.04,   -0.08,   -0.08,    0.01,    0.02,   -0.04,    0.07,   -0.05,    0.05,   -0.16,    0.02,   -0.03,    0.32,   -1.57,    0.79,    2.00,1
3503,127,3,52, 7651.73, 1446.82,  629.77,    0.19,    0.00,   67.69,    1.17,    2.41,    0.02,   19.00,    0.67,    1.46,    0.03,    8.25,    0.76,    2.01,    0.01,   19.00,    0.02,    2.21,   -7.80,   -7.80,   -0.08,    0.45,   -1.57,    1.57,   -0.14,    2.23,   -8.39,   18.62,    0.03,    0.41,   -1.57,    1.57,    4.00,1
2042,145,3,86, 1371.74,  915.05,    0.00,    0.67,    0.01,  102.81,    0.94,    1.02,    0.01,    5.21,    0.70,    0.92,    0.01,    5.14,    0.48,    0.59,    0.01,    2.80,   -0.03,    0.29,   -3.16,   -3.16,   -0.04,    0.22,   -1.57,    0.20,   -0.15,    0.47,   -4.32,    0.05,    0.04,    0.37,   -1.57,    1.57,    1.00,1
1786,133,3,74,  823.65,  712.67,   31.33,    0.87,    0.02,  102.91,    0.64,    0.82,    0.01,    5.27,    0.37,    0.58,    0.01,    2.83,    0.44,    0.64,    0.02,    4.50,   -0.05,    0.30,   -1.79,   -1.79,   -0.06,    0.29,   -1.57,    0.18,   -0.20,    0.52,   -2.77,    0.00,    0.01,    0.50,   -1.57,    1.57,    5.00,1
9097,183,3,111, 2895.76,  114.69,  257.99,    0.04,    0.23,  125.15,    1.60,    2.44,    0.00,   13.18,    1.02,    1.74,    0.00,    8.25,    0.99,    1.85,    0.00,   11.17,   -0.02,    0.31,   -1.79,   -1.79,   -0.03,    0.19,   -1.57,    0.20,   -0.12,    0.35,   -2.97,    0.20,    0.01,    0.36,   -1.57,    1.57,    1.00,1
3344,39,3,18,  865.52,  786.62,   15.86,    0.91,    0.01,   19.55,    1.43,    2.05,    0.02,    8.57,    1.16,    1.70,    0.01,    7.10,    0.80,    1.15,    0.02,    4.80,    0.00,    0.23,   -0.50,   -0.50,   -0.06,    0.28,   -1.57,    0.16,   -0.07,    0.24,   -1.29,    0.70,    0.08,    0.35,   -0.79,    1.57,    0.00,1
1055,43,3,25,  715.70,  701.82,    6.91,    0.98,    0.02,   22.55,    1.84,    2.09,    0.01,   11.87,    1.56,    1.71,    0.01,    9.33,    0.93,    1.23,    0.01,    7.33,    0.06,    0.58,   -0.88,   -0.88,   -0.04,    0.17,   -0.79,    0.09,   -0.04,    0.21,   -0.93,    0.96,    0.03,    0.21,   -0.56,    0.98,    4.00,1
886,28,3,15,  465.70,  456.85,    2.99,    0.98,    0.02,   14.30,    1.16,    0.99,    0.01,    3.54,    0.90,    0.74,    0.01,    2.50,    0.71,    0.69,    0.09,    2.50,    0.00,    0.12,   -0.35,   -0.35,   -0.03,    0.15,   -0.79,    0.12,   -0.11,    0.30,   -1.60,    0.00,   -0.01,    0.14,   -0.54,    0.39,    0.00,1
3579,65,3,28,  664.26,  425.61,   93.52,    0.64,    0.05,   26.40,    0.49,    0.96,    0.01,    7.28,    0.45,    0.93,    0.00,    7.00,    0.14,    0.29,    0.02,    2.00,    0.09,    0.92,   -0.67,   -0.67,   -0.06,    0.29,   -1.57,    0.28,    0.03,    0.92,   -0.85,    7.14,    0.09,    0.35,   -0.46,    1.57,    2.00,1
7606,70,3,33,  268.69,  256.11,    0.00,    0.95,    0.00,   53.23,    0.40,    0.39,    0.00,    1.80,    0.27,    0.29,    0.05,    1.14,    0.27,    0.28,    0.00,    1.50,   -0.01,    0.09,   -0.36,   -0.36,   -0.05,    0.21,   -0.98,    0.26,   -0.14,    0.29,   -1.69,    0.00,    0.07,    0.36,   -0.59,    1.57,    6.00,1
830,53,3,32,  365.02,  351.88,    6.94,    0.96,    0.01,   27.87,    0.69,    0.87,    0.01,    3.60,    0.52,    0.65,    0.01,    2.45,    0.41,    0.60,    0.03,    2.64,   -0.03,    0.16,   -0.90,   -0.90,   -0.05,    0.25,   -1.57,    0.13,   -0.13,    0.34,   -1.80,    0.01,    0.06,    0.38,   -1.57,    1.57,    4.00,1
876,80,4,59,  187.03,  184.61,    2.52,    0.99,    0.01,    5.21,    0.24,    0.17,    0.05,    0.77,    0.23,    0.16,    0.05,    0.71,    0.02,    0.05,    0.08,    0.29,   -0.02,    0.08,   -0.38,   -0.38,    0.00,    0.02,   -0.08,    0.08,   -0.03,    0.08,   -0.38,    0.01,    0.00,    0.14,   -0.46,    0.56,    4.00,1
3714,29,3,10,  319.96,  317.72,   12.98,    0.99,    0.01,    5.89,    1.13,    0.73,    0.14,    2.59,    1.10,    0.72,    0.10,    2.56,    0.23,    0.17,    0.10,    0.50,    0.00,    0.06,   -0.10,   -0.10,    0.00,    0.01,   -0.02,    0.03,   -0.05,    0.15,   -0.79,    0.02,    0.01,    0.05,   -0.01,    0.23,    0.00,1
975,86,3,43,  887.55,  581.94,  181.34,    0.66,    0.02,   48.70,    1.04,    1.05,    0.02,    6.97,    0.74,    0.67,    0.02,    3.75,    0.61,    0.90,    0.07,    5.88,   -0.04,    0.32,   -2.45,   -2.45,   -0.02,    0.15,   -1.11,    0.17,   -0.14,    0.43,   -3.02,    0.01,    0.02,    0.19,   -0.79,    0.93,    0.00,1
3765,184,3,111,  744.47,  674.06,  111.45,    0.91,    0.19,   54.27,    0.39,    0.41,    0.00,    1.70,    0.34,    0.36,    0.00,    1.70,    0.14,    0.22,    0.03,    1.10,   -0.01,    0.09,   -0.78,   -0.78,   -0.02,    0.13,   -1.11,    0.16,   -0.05,    0.14,   -1.40,    0.01,    0.01,    0.36,   -1.57,    1.57,    3.00,1
31665,261,3,139, 1538.84,  127.02,   63.80,    0.08,    0.00,  139.30,    0.52,    0.89,    0.00,    5.44,    0.45,    0.84,    0.00,    5.29,    0.18,    0.37,    0.00,    2.60,   -0.02,    0.26,   -3.24,   -3.24,   -0.04,    0.25,   -1.57,    0.25,   -0.12,    0.36,   -3.59,    0.52,    0.05,    0.49,   -1.57,    1.57,    4.00,1
1774,127,3,66, 1954.69,  792.98,   82.21,    0.41,    0.01,   55.84,    1.53,    1.88,    0.01,    7.44,    1.26,    1.64,    0.01,    6.63,    0.67,    1.06,    0.01,    4.10,   -0.06,    0.45,   -4.31,   -4.31,   -0.01,    0.10,   -0.79,    0.22,   -0.11,    0.48,   -4.78,    0.06,   -0.00,    0.39,   -1.57,    1.57,    6.00,1
330,23,4,8,  203.20,  202.16,    0.04,    0.99,    0.09,    1.14,    1.08,    1.31,    0.09,    5.50,    1.08,    1.31,    0.09,    5.50,    0.07,    0.10,    0.09,    0.30,   -0.14,    0.72,   -2.64,   -2.64,   -0.00,    0.01,   -0.03,    0.02,   -0.20,    0.64,   -2.64,    0.34,   -0.01,    0.05,   -0.20,    0.03,    3.00,1
9891,156,3,90, 3104.66,   90.25, 1046.86,    0.03,    0.30,   88.17,    1.97,    3.10,    0.00,   13.98,    1.72,    2.90,    0.00,   13.20,    0.81,    1.22,    0.01,    5.88,   -0.09,    1.00,   -9.99,   -9.99,   -0.02,    0.18,   -1.57,    0.20,   -0.18,    1.01,  -10.21,    0.09,    0.03,    0.39,   -1.57,    1.57,    1.00,1
3500,48,3,27,  892.23,  860.19,    9.16,    0.96,    0.01,   14.77,    1.86,    2.42,    0.00,    8.35,    1.59,    2.05,    0.00,    7.10,    0.95,    1.28,    0.09,    4.70,   -0.10,    0.81,   -5.47,   -5.47,   -0.01,    0.08,   -0.54,    0.10,   -0.16,    0.86,   -5.96,    0.00,   -0.01,    0.13,   -0.79,    0.28,    0.00,1
1564,66,3,37,  808.58,  690.12,   47.38,    0.85,    0.01,   43.34,    1.22,    1.70,    0.00,    6.37,    1.00,    1.49,    0.01,    5.90,    0.58,    0.92,    0.00,    4.10,   -0.06,    0.29,   -1.66,   -1.66,   -0.06,    0.26,   -1.57,    0.12,   -0.19,    0.49,   -2.90,    0.02,    0.05,    0.32,   -0.79,    1.57,    4.00,1
633,37,3,12,  492.20,  461.21,   24.06,    0.94,    0.03,   11.12,    1.13,    2.03,    0.01,    9.75,    0.96,    1.79,    0.01,    8.60,    0.57,    0.99,    0.08,    4.60,   -0.54,    1.98,   -9.75,   -9.75,   -0.07,    0.22,   -0.98,    0.20,   -0.71,    1.94,   -9.75,    0.29,   -0.00,    0.47,   -1.57,    1.57,    0.00,1
910,61,3,30,  476.85,  462.47,   20.71,    0.97,    0.01,   26.29,    0.72,    1.03,    0.02,    4.72,    0.56,    0.80,    0.02,    3.80,    0.44,    0.67,    0.02,    2.80,   -0.10,    0.67,   -4.72,   -4.72,   -0.06,    0.27,   -1.57,    0.16,   -0.19,    0.77,   -5.48,    0.00,    0.05,    0.54,   -1.57,    1.57,    3.00,1
1413,11,1,4,  417.10,  415.03,    0.00,    1.00,    0.03,    2.53,    1.04,    1.11,    0.00,    3.30,    0.95,    1.02,    0.00,    3.00,    0.42,    0.45,    0.27,    1.38,   -0.08,    0.37,   -1.03,   -1.03,   -0.04,    0.13,   -0.41,    0.05,   -0.01,    0.34,   -1.03,    0.00,    0.00,    0.01,   -0.00,    0.02,    7.00,1
13942,61,1,17,  127.60,  106.57,    2.52,    0.84,    0.00,   28.74,    0.20,    0.28,    0.00,    1.02,    0.08,    0.13,    0.00,    0.57,    0.17,    0.26,    0.01,    1.00,   -0.03,    0.14,   -0.76,   -0.76,   -0.09,    0.36,   -1.57,    0.26,   -0.16,    0.41,   -1.98,    0.00,    0.09,    0.25,   -0.46,    0.79,    1.00,1
16865,51,1,33, 1342.70, 1183.18,   25.40,    0.88,    0.47,   17.04,    2.60,    4.11,    0.00,   17.62,    1.57,    1.91,    0.00,    7.30,    1.72,    3.82,    0.08,   16.80,   -0.16,    0.91,   -5.09,   -5.09,   -0.01,    0.11,   -0.72,    0.26,   -0.22,    0.94,   -5.76,    0.07,    0.02,    0.26,   -0.79,    1.57,    5.00,1
1769,124,3,70, 3518.30,  998.37, 1014.50,    0.28,    0.01,   63.45,    2.85,    3.74,    0.01,   18.90,    1.89,    2.46,    0.01,    9.90,    1.50,    3.21,    0.03,   17.75,   -0.09,    0.74,   -5.79,   -5.79,   -0.04,    0.21,   -1.57,    0.22,   -0.22,    0.77,   -6.29,    0.15,    0.02,    0.25,   -1.57,    1.57,    1.00,1
1265,34,3,7,  386.24,  371.13,    0.00,    0.96,    0.05,   15.87,    1.22,    1.46,    0.10,    6.15,    1.00,    1.31,    0.18,    5.29,    0.61,    0.73,    0.08,    3.14,   -0.11,    0.47,   -2.19,   -2.19,   -0.07,    0.28,   -1.29,    0.14,   -0.26,    0.64,   -2.84,    0.05,    0.05,    0.17,   -0.08,    0.79,    7.00,1
26950,41,3,7,   96.48,   93.98,    3.63,    0.97,    0.00,    5.98,    0.23,    0.41,    0.00,    1.63,    0.21,    0.37,    0.00,    1.50,    0.09,    0.18,    0.01,    0.70,   -0.04,    0.24,   -1.39,   -1.39,   -0.02,    0.10,   -0.53,    0.05,   -0.08,    0.32,   -1.81,    0.00,    0.10,    0.38,   -0.16,    1.57,    0.00,1
1424,97,3,41, 1515.66,  447.04,  131.83,    0.29,    0.02,   96.18,    1.11,    1.56,    0.03,    6.01,    0.60,    1.07,    0.03,    4.20,    0.88,    1.17,    0.03,    4.30,   -0.08,    0.50,   -3.45,   -3.45,   -0.12,    0.41,   -1.57,    0.22,   -0.29,    0.71,   -4.40,    0.01,    0.08,    0.44,   -1.57,    1.57,    6.00,1
1270,113,3,39, 1289.52,   59.77,    0.00,    0.05,    0.01,   79.07,    1.82,    7.74,    0.02,   81.58,    0.58,    1.67,    0.01,   16.00,    1.58,    7.59,    0.01,   80.00,    0.25,    7.58,   -8.74,   -8.74,   -0.27,    0.55,   -1.57,    0.17,    0.03,    7.49,  -10.10,   76.98,    0.08,    0.22,   -0.15,    1.57,    0.00,1
4116,226,3,77,  715.80,  532.00,   97.88,    0.74,    0.02,   93.66,    0.32,    0.47,    0.00,    2.51,    0.24,    0.45,    0.00,    2.44,    0.13,    0.21,    0.01,    1.30,   -0.13,    0.38,   -2.51,   -2.51,   -0.17,    0.43,   -1.57,    0.17,   -0.26,    0.51,   -2.51,    0.02,    0.11,    0.45,   -1.57,    1.57,    3.00,1
1037,91,1,42,  468.14,  441.46,   34.61,    0.94,    0.01,    7.40,    0.53,    0.70,    0.00,    3.42,    0.51,    0.67,    0.00,    3.20,    0.10,    0.24,    0.05,    1.20,   -0.24,    0.60,   -2.47,   -2.47,   -0.04,    0.19,   -1.57,    0.08,   -0.29,    0.62,   -2.79,    0.02,    0.03,    0.20,   -0.04,    1.57,    0.00,1
2299,180,3,108, 3607.74,  420.21,  482.75,    0.12,    0.00,   82.02,    1.98,    3.20,    0.01,   20.80,    1.69,    3.08,    0.01,   20.80,    0.49,    1.23,    0.01,    8.50,   -0.20,    1.06,   -8.80,   -8.80,   -0.09,    0.33,   -1.57,    0.17,   -0.32,    1.11,   -8.80,    0.10,    0.04,    0.22,   -0.79,    1.57,    2.00,1
780,80,3,16,  313.17,  292.33,   48.97,    0.93,    0.03,   67.39,    0.40,    0.42,    0.02,    1.56,    0.13,    0.20,    0.10,    1.00,    0.37,    0.38,    0.02,    1.40,   -0.18,    0.36,   -1.39,   -1.39,   -0.34,    0.63,   -1.57,    0.17,   -0.49,    0.70,   -2.40,    0.00,    0.16,    0.33,   -0.56,    1.57,    6.00,1
2957,134,3,75,  633.73,  350.66,    0.00,    0.55,    0.01,   70.55,    0.48,    0.66,    0.00,    3.75,    0.28,    0.41,    0.00,    1.78,    0.26,    0.59,    0.02,    3.67,   -0.13,    0.54,   -3.75,   -3.75,   -0.11,    0.39,   -1.57,    0.17,   -0.25,    0.70,   -3.75,    1.00,    0.03,    0.40,   -1.57,    1.57,    1.00,1
815,85,3,19,  945.67,  618.62,    0.00,    0.65,    0.02,   42.27,    1.18,    1.48,    0.02,    5.06,    0.89,    1.14,    0.02,    4.10,    0.74,    0.97,    0.03,    4.25,   -0.48,    1.20,   -5.06,   -5.06,   -0.20,    0.42,   -1.57,    0.17,   -0.70,    1.34,   -5.97,    0.09,    0.12,    0.36,   -0.15,    1.57,    4.00,1
955,91,3,36,  268.64,  202.36,    1.40,    0.75,    0.01,   18.86,    0.30,    0.42,    0.02,    1.50,    0.28,    0.42,    0.02,    1.50,    0.04,    0.08,    0.02,    0.33,   -0.15,    0.37,   -1.48,   -1.48,   -0.08,    0.31,   -1.57,    0.17,   -0.24,    0.46,   -1.85,    0.02,    0.10,    0.33,   -0.59,    1.57,    7.00,1
1304,127,3,47,  920.13,  705.44,    0.00,    0.77,    0.01,   25.48,    0.74,    1.32,    0.01,    6.70,    0.72,    1.32,    0.01,    6.70,    0.11,    0.19,    0.02,    1.20,   -0.28,    0.91,   -4.64,   -4.64,   -0.05,    0.19,   -1.57,    0.09,   -0.36,    0.91,   -4.82,    0.05,    0.03,    0.33,   -0.79,    1.57,    7.00,1
1025,94,3,50,  695.17,  689.20,   30.29,    0.99,    0.00,    6.07,    0.75,    1.33,    0.03,    5.54,    0.74,    1.32,    0.03,    5.50,    0.06,    0.18,    0.09,    1.00,   -0.31,    1.03,   -4.70,   -4.70,   -0.02,    0.08,   -0.46,    0.05,   -0.36,    1.01,   -4.70,    0.06,    0.00,    0.10,   -0.46,    0.21,    3.00,1
7942,236,3,76, 1310.72,   56.85,    0.00,    0.04,    0.00,   72.92,    0.56,    0.99,    0.00,    5.28,    0.46,    0.78,    0.00,    4.20,    0.29,    0.62,    0.00,    3.20,   -0.22,    0.74,   -4.72,   -4.72,   -0.14,    0.36,   -1.57,    0.17,   -0.34,    0.82,   -4.92,    0.04,    0.11,    0.48,   -1.57,    1.57,    7.00,1
680,53,3,16,  279.06,  268.17,    0.00,    0.96,    0.03,   19.54,    0.54,    1.05,    0.01,    4.59,    0.50,    1.01,    0.01,    4.40,    0.16,    0.33,    0.05,    1.50,   -0.25,    0.88,   -4.59,   -4.59,   -0.15,    0.39,   -1.57,    0.16,   -0.43,    0.96,   -4.85,    0.02,    0.19,    0.57,   -1.57,    1.57,    0.00,1
2035,254,3,76, 1391.72,  614.92,  166.76,    0.44,    0.01,  125.19,    0.56,    0.92,    0.02,    5.64,    0.28,    0.50,    0.02,    3.33,    0.43,    0.81,    0.02,    4.56,   -0.27,    0.77,   -5.64,   -5.64,   -0.23,    0.51,   -1.57,    0.17,   -0.46,    0.95,   -6.20,    0.02,    0.07,    0.16,   -0.21,    1.11,    4.00,1
729,75,3,22,  197.19,   52.01,   43.40,    0.26,    0.01,   39.57,    0.27,    0.39,    0.03,    1.74,    0.12,    0.16,    0.03,    0.78,    0.22,    0.36,    0.03,    1.56,   -0.14,    0.35,   -1.74,   -1.74,   -0.23,    0.49,   -1.57,    0.17,   -0.31,    0.59,   -2.56,    0.00,    0.10,    0.47,   -1.57,    1.57,    5.00,1
15293,179,3,53, 1419.53,  528.09,   48.23,    0.37,    0.00,   61.39,    0.80,    1.21,    0.00,    7.10,    0.69,    1.17,    0.00,    7.00,    0.30,    0.39,    0.03,    1.80,   -0.27,    0.96,   -7.10,   -7.10,   -0.10,    0.27,   -1.57,    0.16,   -0.40,    1.00,   -7.25,    0.05,    0.05,    0.28,   -1.57,    1.57,    7.00,1
645,73,3,16,  434.80,  387.55,   74.33,    0.89,    0.11,   40.98,    0.62,    0.89,    0.02,    3.50,    0.30,    0.50,    0.02,    2.10,    0.51,    0.75,    0.02,    3.00,   -0.35,    0.82,   -3.50,   -3.50,   -0.28,    0.53,   -1.57,    0.17,   -0.58,    0.98,   -3.79,    0.01,    0.11,    0.25,   -0.16,    1.57,    1.00,1
3054,126,3,33,  661.51,   28.44,    6.75,    0.04,    0.00,   57.04,    0.36,    0.61,    0.00,    3.08,    0.30,    0.56,    0.00,    2.78,    0.17,    0.27,    0.03,    1.33,   -0.16,    0.48,   -3.08,   -3.08,   -0.20,    0.47,   -1.57,    0.17,   -0.31,    0.61,   -3.08,    0.01,    0.24,    0.62,   -1.57,    1.57,    6.00,1
1511,98,3,20,  870.31,  164.71,  278.25,    0.19,    0.01,   77.43,    0.61,    0.97,    0.00,    4.18,    0.22,    0.37,    0.02,    1.90,    0.55,    0.91,    0.00,    4.00,   -0.25,    0.76,   -4.18,   -4.18,   -0.33,    0.61,   -1.57,    0.17,   -0.53,    0.98,   -5.33,    0.01,    0.20,    0.50,   -1.57,    1.57,    6.00,1
561,64,3,17,  167.74,  101.24,   21.19,    0.60,    0.01,   40.29,    0.27,    0.34,    0.02,    1.36,    0.14,    0.21,    0.02,    0.80,    0.22,    0.27,    0.03,    1.10,   -0.14,    0.31,   -1.36,   -1.36,   -0.30,    0.58,   -1.57,    0.26,   -0.36,    0.57,   -2.24,    0.00,    0.21,    0.46,   -0.79,    1.57,    1.00,1
3480,266,3,90,  897.91,  352.93,  103.88,    0.39,    0.01,   86.63,    0.34,    0.50,    0.00,    2.20,    0.29,    0.44,    0.01,    1.90,    0.15,    0.26,    0.00,    1.11,   -0.15,    0.42,   -2.11,   -2.11,   -0.16,    0.40,   -1.57,    0.17,   -0.28,    0.54,   -2.68,    0.01,    0.14,    0.39,   -0.79,    1.57,    3.00,1
165,17,1,5,   30.94,   30.36,    2.01,    0.98,    0.06,    2.55,    0.19,    0.22,    0.01,    0.63,    0.18,    0.20,    0.01,    0.60,    0.06,    0.08,    0.10,    0.22,   -0.10,    0.18,   -0.51,   -0.51,   -0.10,    0.23,   -0.79,    0.09,   -0.13,    0.21,   -0.64,    0.00,    0.08,    0.16,   -0.02,    0.56,    0.00,1
1355,122,3,45,  256.69,  215.84,   52.26,    0.84,    0.01,   29.84,    0.20,    0.32,    0.02,    1.72,    0.18,    0.28,    0.02,    1.40,    0.08,    0.17,    0.02,    1.00,   -0.10,    0.25,   -1.49,   -1.49,   -0.13,    0.38,   -1.57,    0.17,   -0.19,    0.40,   -2.00,    0.01,    0.14,    0.56,   -1.57,    1.57,    3.00,1
11268,312,3,95, 1148.87,  140.00,    0.61,    0.12,    0.00,  122.79,    0.37,    0.75,    0.00,    6.58,    0.32,    0.68,    0.00,    6.00,    0.15,    0.32,    0.00,    2.90,   -0.14,    0.42,   -4.25,   -4.25,   -0.16,    0.39,   -1.57,    0.17,   -0.29,    0.55,   -4.67,    0.03,    0.15,    0.51,   -1.57,    1.57,    7.00,1
103,15,1,2,   59.93,   59.08,    1.37,    0.99,    0.30,    6.93,    0.43,    0.35,    0.10,    1.03,    0.35,    0.31,    0.20,    0.90,    0.24,    0.19,    0.10,    0.50,   -0.16,    0.35,   -1.03,   -1.03,   -0.08,    0.20,   -0.51,    0.08,   -0.31,    0.57,   -1.81,    0.01,    0.13,    0.23,   -0.03,    0.79,    0.00,1
3253,231,3,88, 3587.73,  497.16,  700.07,    0.14,    0.00,  104.85,    2.39,    7.95,    0.00,   78.19,    1.46,    5.17,    0.00,   70.00,    1.34,    6.19,    0.00,   78.00,   -0.07,    6.68,  -41.53,  -41.53,   -0.08,    0.35,   -1.57,    1.57,   -0.28,    6.21,  -41.53,   70.00,    0.04,    0.44,   -1.57,    1.57,    1.00,1
9030,417,3,136, 1562.67,  561.17,  234.43,    0.36,    0.06,  247.51,    0.38,    0.62,    0.00,    3.69,    0.24,    0.47,    0.00,    3.10,    0.24,    0.44,    0.00,    2.11,   -0.15,    0.52,   -3.69,   -3.69,   -0.21,    0.49,   -1.57,    0.17,   -0.34,    0.68,   -4.26,    0.02,    0.20,    0.56,   -1.57,    1.57,    5.00,1
257,18,4,11,  385.02,  354.81,   37.99,    0.92,    0.16,   12.85,    2.22,    2.22,    0.10,    7.12,    1.94,    2.35,    1.44,    7.00,    0.64,    0.36,    0.10,    1.30,   -0.01,    0.15,   -0.36,   -0.36,    0.01,    0.03,   -0.02,    0.13,   -0.16,    0.37,   -1.57,    0.01,    0.01,    0.04,   -0.00,    0.17,    0.00,1
